date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-04-08,NIFTY,ORB,PUT,BULLISH,0.939,10:35:00,10:40:00,22297.75,31.51,22485.99,22250.55,1,50,50,0,0.0,0,0.0,12.81,-1034.94,-1075.11,-66.14,Hard SL,1
2025-04-17,NIFTY,ORB,CALL,NEUTRAL,-0.134,11:40:00,11:45:00,23598.85,88.24,23374.18,23568.67,1,50,50,0,0.0,0,0.0,88.97,-63.39,-104.71,-2.35,TP hit,7
2025-04-23,NIFTY,PDH_PDL,PUT,BULLISH,0.926,11:20:00,11:25:00,24180.75,34.17,24259.66,24243.97,1,50,50,0,0.0,0,0.0,30.6,-278.53,-318.97,-18.14,VWAP TP,1
2025-04-23,NIFTY,ORB,PUT,BULLISH,0.926,11:40:00,11:45:00,24239.0,34.25,24292.97,24122.42,2,50,100,0,0.0,0,0.0,37.48,123.19,82.1,2.33,Trail SL,1
2025-05-07,NIFTY,PDH_PDL,CALL,BEARISH,-0.422,11:00:00,11:05:00,24362.55,34.43,24314.01,24355.35,3,50,150,0,0.0,0,0.0,33.31,-467.7,-509.15,-9.58,VWAP TP,1
2025-05-09,NIFTY,VWAP,CALL,BEARISH,-0.904,11:25:00,11:30:00,24093.0,83.4,24022.6,0.0,2,50,100,0,0.0,0,0.0,66.2,-1919.88,-1961.83,-23.24,SL hit,6
2025-05-15,NIFTY,VWAP,CALL,NEUTRAL,0.035,10:30:00,10:35:00,24620.8,92.06,24564.5,0.0,3,50,150,0,0.0,0,0.0,63.65,-4561.33,-4604.15,-32.98,Hard SL,7
2025-05-21,NIFTY,ORB,CALL,NEUTRAL,0.123,10:35:00,10:40:00,24932.95,35.23,24779.73,25003.65,1,50,50,0,0.0,0,0.0,22.94,-714.59,-754.92,-41.67,Hard SL,1
2025-05-21,NIFTY,ORB,CALL,NEUTRAL,0.123,11:00:00,11:05:00,24878.6,35.16,24779.73,25003.65,3,50,150,0,0.0,0,0.0,32.92,-635.87,-677.31,-12.49,Trail SL,1
2025-05-23,NIFTY,ORB,CALL,NEUTRAL,0.01,10:45:00,10:50:00,24876.7,86.12,24733.58,25040.92,2,50,100,0,0.0,0,0.0,67.88,-2024.18,-2066.19,-23.72,Hard SL,6
2025-05-26,NIFTY,VWAP,PUT,NEUTRAL,0.299,12:40:00,12:45:00,24967.35,61.11,25003.45,0.0,3,50,150,0,0.0,0,0.0,55.66,-1118.02,-1160.47,-12.46,NO_MOVE_EXTENDED,3
2025-05-27,NIFTY,VWAP,CALL,NEUTRAL,-0.159,11:00:00,11:05:00,24876.35,49.72,24772.6,0.0,2,50,100,1,65.50564323146006,1,80.21573307364375,80.22,2114.07,2071.91,40.85,Partial 2 + close,2
2025-05-27,NIFTY,VWAP,PUT,NEUTRAL,-0.159,12:25:00,12:30:00,24854.05,49.68,24908.55,0.0,3,50,150,1,68.18136562775958,1,76.91181835271816,68.82,2943.55,2900.38,38.15,Trail SL,2
2025-05-29,NIFTY,ORB,PUT,NEUTRAL,0.274,11:00:00,11:05:00,24715.75,92.42,24812.7,24614.7,3,50,150,0,0.0,0,0.0,83.93,-1572.98,-1616.71,-11.54,NO_MOVE_EXTENDED,7
2025-05-29,NIFTY,VWAP,CALL,NEUTRAL,0.274,12:55:00,13:00:00,24769.75,92.61,24722.5,0.0,3,50,150,0,0.0,0,0.0,85.79,-1323.54,-1367.36,-9.74,NO_MOVE_TREND_LOST,7
2025-06-12,NIFTY,ORB,PUT,NEUTRAL,0.15,10:40:00,10:45:00,25043.7,93.64,25128.83,24955.58,3,50,150,0,0.0,0,0.0,91.89,-561.96,-606.05,-4.27,NO_MOVE_EXTENDED,7
2025-06-16,NIFTY,ORB,CALL,NEUTRAL,-0.013,11:05:00,11:10:00,24926.1,61.02,24783.44,24988.73,2,50,100,0,0.0,0,0.0,49.63,-1339.07,-1380.53,-22.26,Hard SL,3
2025-06-17,NIFTY,VWAP,PUT,NEUTRAL,0.148,10:45:00,10:50:00,24874.45,49.72,24901.3,0.0,3,50,150,0,0.0,0,0.0,44.6,-1068.68,-1110.64,-14.6,NO_MOVE_TREND_LOST,2
2025-06-19,NIFTY,VWAP,PUT,NEUTRAL,0.018,10:30:00,10:35:00,24799.8,92.73,24838.3,0.0,3,50,150,0,0.0,0,0.0,88.95,-866.93,-910.89,-6.48,NO_MOVE_EXTENDED,7
2025-07-03,NIFTY,PDH_PDL,PUT,NEUTRAL,0.245,13:45:00,13:50:00,25511.75,95.39,25631.03,25518.86,2,50,100,0,0.0,0,0.0,95.85,-154.47,-197.32,-2.05,VWAP TP,7
2025-07-09,NIFTY,VWAP,PUT,NEUTRAL,-0.033,13:00:00,13:05:00,25491.35,36.03,25531.85,0.0,3,50,150,0,0.0,0,0.0,30.56,-1119.88,-1161.21,-20.91,Hard SL,1
2025-07-18,NIFTY,ORB,PUT,NEUTRAL,-0.004,11:45:00,11:50:00,24947.5,86.36,25073.58,24890.98,2,50,100,0,0.0,0,0.0,85.16,-319.87,-362.4,-4.15,NO_MOVE_EXTENDED,6
2025-07-30,NIFTY,VWAP,CALL,NEUTRAL,0.242,11:10:00,11:15:00,24847.3,35.11,24818.55,0.0,3,50,150,1,46.37914870967864,0,0.0,39.22,674.66,632.83,11.68,Trail SL,1
2025-07-31,NIFTY,ORB,CALL,BEARISH,-0.814,11:00:00,11:05:00,24760.35,92.58,24700.76,24869.88,2,50,100,0,0.0,0,0.0,100.0,542.0,499.03,5.33,TP hit,7
2025-09-10,NIFTY,VWAP,PUT,BULLISH,0.451,11:15:00,11:20:00,24981.35,35.31,25014.35,0.0,3,50,150,0,0.0,0,0.0,34.75,-383.59,-425.11,-7.81,NO_MOVE_EXTENDED,1
2025-09-30,NIFTY,ORB,PUT,NEUTRAL,0.058,10:35:00,10:40:00,24597.2,34.76,24671.22,24515.43,3,50,150,0,0.0,0,0.0,28.02,-1311.13,-1352.34,-25.21,Hard SL,1
2025-10-01,NIFTY,ORB,CALL,NEUTRAL,-0.053,11:40:00,11:45:00,24776.05,35.01,24662.97,24809.58,2,50,100,0,0.0,0,0.0,33.92,-308.53,-349.52,-9.71,Trail SL,1
