date,direction,gap_pct,entry_premium,entry_spot,lots,candles_held_5min,partial1_lots,partial1_premium,partial2_lots,partial2_premium,final_premium,final_reason,highest_premium,trailing_sl_at_exit,adx_val,rsi_val,range_ratio,ema9,gross_pnl,theta_cost,slippage_cost,brokerage,stt_cost,net_pnl,net_pnl_pct
2025-03-17,CALL,0.41,216.36,48377.1,1,2,0,0.0,0,0.0,216.47,NO_MOVE,217.97,0.0,30.4,72.1,1.54,48222.6,1.59,1.73,22.5,40.0,0.97,-61.88,-0.06
2025-03-18,CALL,0.92,154.96,48862.8,1,2,0,0.0,0,0.0,161.1,NO_MOVE,165.54,0.0,24.1,83.4,1.96,48628.7,92.21,1.24,22.5,40.0,0.72,28.99,0.03
2025-03-24,CALL,0.82,228.76,51168.0,1,21,0,0.0,0,0.0,425.13,TRAIL_SL,501.92,426.63,35.0,76.6,1.43,50946.2,2945.64,19.22,22.5,40.0,1.91,2881.23,2.88
2025-04-01,PUT,-0.7,162.51,51269.65,1,1,0,0.0,0,0.0,284.55,TREND_CHECK_EXIT,286.05,243.14,28.2,35.1,2.11,51468.5,1830.46,0.65,22.5,40.0,1.28,1766.68,1.77
2025-04-07,PUT,-4.23,220.94,49407.05,1,4,0,0.0,0,0.0,317.95,TREND_CHECK_EXIT,319.45,271.53,48.3,26.5,1.44,49565.0,1455.21,3.53,22.5,40.0,1.43,1391.28,1.39
2025-04-08,CALL,0.81,160.0,50470.0,1,1,0,0.0,0,0.0,139.3,HARD_SL,160.0,0.0,30.6,62.8,1.59,50287.5,-310.51,0.64,22.5,40.0,0.63,-373.63,-0.37
2025-04-11,CALL,0.7,359.54,50985.4,1,5,0,0.0,0,0.0,314.9,HARD_SL,390.71,0.0,30.0,79.1,1.57,50690.6,-669.68,7.19,22.5,40.0,1.42,-733.6,-0.73
2025-04-15,CALL,2.53,165.86,52335.8,1,12,0,0.0,0,0.0,144.46,HARD_SL,188.17,0.0,57.8,77.8,1.58,52285.1,-321.05,7.96,22.5,40.0,0.65,-384.2,-0.38
2025-04-16,CALL,0.53,167.03,52707.2,1,24,0,0.0,0,0.0,231.64,TREND_CHECK_EXIT,233.14,198.17,32.3,59.1,1.43,52684.2,969.14,16.03,22.5,40.0,1.04,905.6,0.91
2025-04-21,CALL,1.18,247.44,55373.95,1,2,0,0.0,0,0.0,248.0,NO_MOVE,249.5,0.0,42.9,68.8,1.5,55341.3,8.36,1.98,22.5,40.0,1.12,-55.25,-0.06
2025-05-12,CALL,1.83,246.93,55258.65,1,1,0,0.0,0,0.0,215.79,HARD_SL,246.93,0.0,48.3,87.2,1.62,54905.8,-466.97,0.99,22.5,40.0,0.97,-530.44,-0.53
2025-06-03,CALL,0.43,176.96,55870.35,1,3,0,0.0,0,0.0,154.23,HARD_SL,176.96,0.0,30.2,56.0,1.61,55840.8,-341.03,2.12,22.5,40.0,0.69,-404.23,-0.4
2025-06-09,CALL,0.82,254.32,56922.9,1,2,0,0.0,0,0.0,253.94,NO_MOVE,255.44,0.0,28.0,74.7,1.43,56790.6,-5.59,2.03,22.5,40.0,1.14,-69.23,-0.07
2025-06-23,PUT,-0.68,249.69,55881.25,1,9,0,0.0,0,0.0,218.23,HARD_SL,250.47,0.0,25.6,41.2,1.82,55911.6,-471.94,8.99,22.5,40.0,0.98,-535.43,-0.54
2025-06-24,CALL,0.88,179.22,56587.75,1,6,0,0.0,0,0.0,271.75,TREND_CHECK_EXIT,273.25,232.26,34.1,61.9,1.8,56583.3,1388.02,4.3,22.5,40.0,1.22,1324.3,1.32
2025-07-18,PUT,-0.49,397.2,56347.55,1,38,0,0.0,0,0.0,370.05,LOSING_CLOSE,449.47,0.0,53.8,17.9,1.49,56476.4,-407.19,60.37,22.5,40.0,1.67,-471.36,-0.47
2025-07-21,CALL,0.54,253.07,56641.15,1,22,0,0.0,0,0.0,265.97,TRAIL_SL,314.67,267.47,27.2,70.4,1.87,56421.6,193.5,22.27,22.5,40.0,1.2,129.8,0.13
2025-07-22,CALL,0.59,180.59,57024.2,1,1,0,0.0,0,0.0,157.42,HARD_SL,180.59,0.0,24.7,62.1,1.66,56990.0,-347.56,0.72,22.5,40.0,0.71,-410.76,-0.41
2025-07-23,CALL,0.35,180.31,56937.55,1,26,0,0.0,0,0.0,289.12,HARD_CLOSE,290.62,247.03,21.6,71.9,1.67,56869.8,1632.05,18.75,22.5,40.0,1.3,1568.25,1.57
2025-07-28,PUT,-0.54,251.81,56357.95,1,1,0,0.0,0,0.0,220.09,HARD_SL,251.81,0.0,20.5,40.4,1.55,56447.3,-475.75,1.01,22.5,40.0,0.99,-539.25,-0.54
2025-08-18,CALL,1.13,250.17,55989.4,1,1,0,0.0,0,0.0,218.65,HARD_SL,250.17,0.0,34.5,60.5,2.05,55965.3,-472.81,1.0,22.5,40.0,0.98,-536.29,-0.54
2025-09-10,CALL,0.6,172.86,54562.55,1,4,0,0.0,0,0.0,181.5,TRAIL_SL,215.3,183.0,32.3,73.5,1.64,54487.3,129.68,2.77,22.5,40.0,0.82,66.36,0.07
2025-09-24,PUT,-0.3,174.9,55213.7,1,17,0,0.0,0,0.0,198.8,TRAIL_SL,235.65,200.3,32.2,26.0,1.58,55287.4,358.54,11.89,22.5,40.0,0.89,295.15,0.3
2025-09-30,CALL,0.3,173.19,54669.3,1,2,0,0.0,0,0.0,162.94,NO_MOVE,173.19,0.0,26.3,60.5,1.42,54631.9,-153.73,1.39,22.5,40.0,0.73,-216.96,-0.22
2025-10-06,CALL,0.43,249.36,55807.4,1,54,0,0.0,0,0.0,322.2,TRAIL_SL,380.82,323.7,26.2,67.3,1.45,55724.3,1092.54,53.86,22.5,40.0,1.45,1028.59,1.03
