date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-08-05,BANKNIFTY,ORB,PUT,BEARISH,-1.464,11:25:00,11:30:00,49932.5,221.77,50466.96,1,15,15,262.04,-634.03,-675.21,-20.39,Hard close (14:30),2
2024-08-06,BANKNIFTY,ORB,PUT,BULLISH,0.761,10:40:00,10:45:00,49964.8,156.92,50471.35,1,15,15,248.18,-1398.97,-1440.09,-61.57,Short SL,1
2024-08-07,BANKNIFTY,VWAP,PUT,BULLISH,1.037,11:00:00,11:05:00,49907.05,414.68,50045.45,1,15,15,433.79,-316.65,-358.61,-5.78,Hard close (14:30),7
2024-08-12,BANKNIFTY,ORB,CALL,NEUTRAL,-0.137,10:55:00,11:00:00,50698.7,225.17,50382.46,1,15,15,173.99,737.73,696.94,20.73,Hard close (14:30),2
2024-08-16,BANKNIFTY,VWAP,CALL,BULLISH,0.777,11:25:00,11:30:00,50102.7,351.84,49969.3,1,15,15,95.26,3818.68,3778.24,71.79,Short TP,5
2024-08-20,BANKNIFTY,ORB,CALL,NEUTRAL,-0.003,11:05:00,11:10:00,50811.35,159.58,50590.47,2,15,30,93.73,1915.53,1874.68,39.41,Hard close (14:30),1
2024-08-21,BANKNIFTY,VWAP,CALL,NEUTRAL,-0.103,11:20:00,11:25:00,50569.65,420.19,50430.25,1,15,15,434.74,-248.18,-290.14,-4.61,Hard close (14:30),7
2024-09-03,BANKNIFTY,SMC,CALL,NEUTRAL,0.093,11:15:00,11:20:00,51354.1,161.28,51219.51,2,15,30,91.5,2033.44,1992.61,41.44,Hard close (14:30),1
2024-09-09,BANKNIFTY,ORB,CALL,NEUTRAL,-0.155,10:40:00,10:45:00,50771.95,225.5,50594.83,1,15,15,99.4,1861.46,1821.01,54.08,Hard close (14:30),2
2024-09-10,BANKNIFTY,PDH_PDL,PUT,BULLISH,0.395,11:05:00,11:10:00,51081.65,160.42,51275.08,1,15,15,243.46,-1275.57,-1316.67,-55.06,Short SL,1
