date,index,direction,or_high,or_low,or_range_pct,breakout_time,breakout_price,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-06-17,SENSEX,PUT,81890.15,81574.14,0.0038738992528759087,12:45:00,81481.51,443.23,360.96,1,10,10,-862.69,-903.77,-20.39,Hard close,3
2025-06-24,SENSEX,CALL,82835.39,82492.5,0.004156620298815037,12:00:00,83010.41,451.54,182.93,1,10,10,-2726.07,-2766.62,-61.27,SL hit,3
2025-06-26,SENSEX,CALL,83075.5,82816.26,0.0031303031554432096,10:00:00,83215.61,261.34,141.57,1,10,10,-1237.73,-1278.15,-48.91,SL hit,1
2025-07-10,SENSEX,PUT,83742.28,83446.57,0.0035437046723429356,10:00:00,83350.74,261.77,206.46,1,10,10,-593.14,-633.76,-24.21,SL hit,1
2025-07-31,SENSEX,CALL,81050.83,80695.15,0.004407699843175303,11:15:00,81224.82,255.09,437.88,1,10,10,1787.94,1746.64,68.47,Target hit,1
2025-08-11,SENSEX,CALL,80059.46,79772.46,0.0035977328516633433,10:45:00,80151.61,435.99,553.07,1,10,10,1130.8,1089.15,24.98,Hard close,3
2025-08-12,SENSEX,CALL,80721.56,80398.23,0.004021605948290177,10:00:00,80856.38,359.12,281.97,1,10,10,-811.49,-852.33,-23.73,SL hit,2
2025-09-04,SENSEX,PUT,81456.67,81044.53,0.005085352459937758,10:30:00,80918.99,254.13,176.28,1,10,10,-818.48,-859.01,-33.8,SL hit,1
2025-09-25,SENSEX,PUT,81840.73,81492.37,0.0042747560293068,12:30:00,81400.92,255.64,179.2,1,10,10,-804.35,-844.89,-33.05,SL hit,1
2025-10-01,SENSEX,CALL,80410.25,80159.9,0.003123132638638594,10:45:00,80545.77,357.74,495.92,1,10,10,1341.77,1300.29,36.35,Hard close,2
2025-10-08,SENSEX,PUT,82196.77,81849.98,0.0042368977976538075,11:00:00,81751.22,363.09,262.02,1,10,10,-1050.68,-1091.46,-30.06,SL hit,2
2025-10-15,SENSEX,CALL,82384.55,82084.37,0.003656969042949438,10:45:00,82537.3,366.58,308.09,1,10,10,-624.93,-665.85,-18.16,Hard close,2
2025-10-23,SENSEX,CALL,85160.7,84867.97,0.003449240037201266,10:00:00,85267.21,267.79,205.21,1,10,10,-665.83,-706.44,-26.38,SL hit,1
2025-10-28,SENSEX,PUT,84904.77,84609.66,0.0034878996086262558,10:30:00,84484.43,459.56,351.61,1,10,10,-1119.49,-1160.54,-25.25,SL hit,3
2025-11-11,SENSEX,PUT,83726.51,83318.42,0.004897956538302052,10:30:00,83149.16,452.3,317.85,1,10,10,-1384.53,-1425.48,-31.52,SL hit,3
2025-11-13,SENSEX,CALL,84545.29,84253.05,0.0034685984661681764,10:30:00,84648.58,265.84,157.71,1,10,10,-1121.35,-1161.82,-43.7,SL hit,1
2025-11-26,SENSEX,CALL,84894.94,84478.13,0.004933939707235442,10:00:00,85239.23,378.58,447.1,1,10,10,645.22,603.88,15.95,Hard close,2
2025-12-03,SENSEX,PUT,85269.68,84932.2,0.003973522409639641,10:30:00,84801.53,376.64,270.68,1,10,10,-1099.62,-1140.42,-30.28,SL hit,2
2025-12-10,SENSEX,PUT,84870.97,84607.49,0.0031141450951918787,12:30:00,84450.72,375.08,267.55,1,10,10,-1115.28,-1156.07,-30.82,SL hit,2
2026-01-08,SENSEX,PUT,84965.27,84705.28,0.003069348215365149,11:00:00,84597.98,265.68,400.82,1,10,10,1311.42,1270.23,47.81,Target hit,1
2026-01-13,SENSEX,PUT,84258.03,83769.5,0.005831836169488881,12:00:00,83613.17,454.82,421.6,1,10,10,-372.17,-413.42,-9.09,Hard close,3
2026-01-14,SENSEX,CALL,83664.6,83288.13,0.004520091878638662,11:45:00,83758.46,372.0,293.32,1,10,10,-826.82,-867.7,-23.33,SL hit,2
2026-01-20,SENSEX,PUT,83254.28,82934.77,0.003852545801959718,12:00:00,82849.51,450.67,580.74,1,10,10,1260.66,1218.93,27.05,Hard close,3
2026-01-21,SENSEX,PUT,82282.25,81793.23,0.005978734425819888,10:30:00,81505.77,362.0,281.27,1,10,10,-847.28,-888.12,-24.53,SL hit,2
2026-01-22,SENSEX,PUT,82655.55,82383.77,0.003298950752071662,10:15:00,82269.14,258.37,393.53,1,10,10,1311.65,1270.47,49.17,Target hit,1
2026-01-27,SENSEX,CALL,81711.81,81088.59,0.00768566823026521,11:30:00,81796.63,444.94,353.42,1,10,10,-955.19,-996.25,-22.39,SL hit,3
2026-01-29,SENSEX,PUT,82386.79,82001.01,0.00470457619973216,10:00:00,81890.74,257.18,174.07,1,10,10,-871.13,-911.65,-35.45,SL hit,1
2026-02-05,SENSEX,PUT,83784.17,83502.77,0.0033699480867520224,10:30:00,83404.91,261.94,208.47,1,10,10,-574.74,-615.36,-23.49,SL hit,1
2026-02-11,SENSEX,PUT,84487.34,84231.83,0.003033413853171595,12:30:00,84118.7,373.6,298.37,1,10,10,-792.32,-833.21,-22.3,SL hit,2
2026-02-17,SENSEX,CALL,83265.44,82987.43,0.0033500254195124412,10:15:00,83493.16,454.17,353.81,1,10,10,-1043.6,-1084.66,-23.88,SL hit,3
2026-02-19,SENSEX,PUT,83979.36,83672.47,0.0036677535633882854,10:00:00,83544.84,262.38,419.25,1,10,10,1528.7,1487.45,56.69,Target hit,1
2026-02-24,SENSEX,PUT,83079.51,82701.14,0.004575148540878582,10:00:00,82478.13,448.65,472.34,1,10,10,196.88,155.47,3.47,Hard close,3
2026-02-25,SENSEX,CALL,82807.25,82488.26,0.003867095753989783,10:00:00,82896.86,368.18,283.33,1,10,10,-888.48,-929.32,-25.24,SL hit,2
2026-02-26,SENSEX,PUT,82579.16,82244.99,0.0040631046340938,12:15:00,82089.72,257.81,96.39,1,10,10,-1654.23,-1694.52,-65.73,SL hit,1
2026-03-11,SENSEX,PUT,78324.37,78031.34,0.003755286017131051,10:00:00,77721.14,345.19,528.08,1,10,10,1788.92,1747.34,50.62,Target hit,2
2026-03-12,SENSEX,CALL,76369.65,75871.18,0.006569951857872795,10:45:00,76473.54,240.17,171.98,1,10,10,-721.88,-762.39,-31.74,SL hit,1
2026-03-16,SENSEX,PUT,74846.99,74384.61,0.006216070770553272,10:15:00,74162.38,465.82,343.38,1,10,10,-1264.44,-1305.46,-28.03,SL hit,4
2026-03-18,SENSEX,CALL,76589.68,76187.92,0.005273276918440545,10:45:00,76689.22,340.61,323.65,1,10,10,-209.62,-250.59,-7.36,Hard close,2
2026-03-23,SENSEX,PUT,73732.58,72977.34,0.010348965857072966,10:00:00,72838.31,457.5,294.53,1,10,10,-1669.7,-1710.57,-37.39,SL hit,4
2026-03-24,SENSEX,PUT,74212.47,73474.5,0.010043892779127468,10:00:00,73349.42,398.99,305.28,1,10,10,-977.14,-1018.05,-25.52,SL hit,3
2026-03-25,SENSEX,CALL,75002.74,74550.47,0.0060666284196465034,10:00:00,75274.75,334.33,542.46,1,10,10,2041.25,1999.63,59.81,Target hit,2
2026-04-01,SENSEX,PUT,73900.9,73546.51,0.004818583505865872,10:45:00,73429.69,326.13,152.82,1,10,10,-1773.07,-1813.53,-55.61,SL hit,2
2026-04-06,SENSEX,PUT,73588.75,72914.16,0.009251838051758348,11:00:00,72781.71,457.15,346.19,1,10,10,-1149.56,-1190.59,-26.04,SL hit,4
2026-04-07,SENSEX,CALL,73833.74,73282.41,0.007523360653668482,10:00:00,73941.34,402.21,255.02,1,10,10,-1511.86,-1552.62,-38.6,SL hit,3
2026-04-08,SENSEX,CALL,77392.31,77042.15,0.004545044498368796,10:45:00,77513.42,344.27,232.05,1,10,10,-1162.17,-1202.86,-34.94,SL hit,2
2026-04-09,SENSEX,PUT,77429.33,76950.0,0.006229109811565974,10:30:00,76813.5,241.24,165.86,1,10,10,-793.76,-834.25,-34.58,SL hit,1
2026-04-13,SENSEX,CALL,76339.3,75868.32,0.006207861199509833,10:15:00,76445.84,480.16,638.14,1,10,10,1539.82,1497.91,31.2,Hard close,4
2026-04-16,SENSEX,PUT,78730.32,78480.99,0.0031769476914091134,10:00:00,78367.16,246.12,413.48,1,10,10,1633.64,1592.41,64.7,Target hit,1
